Original_BBL,2021_bbl,facility_type,environmental_concern,facility_feature,map_year,created_date,image_id,comments_string
4141470005,4141470005,Other (input),Not Reported,Other,#NAME?,01/04/2010,48590,Parcel lies in roadway (Private driveway)
4050650007,4050650007,Residential,Not Reported,Residential/dwelling,1934,12/29/2009,50533,No Additional Comments
4050650007,4050650007,Residential,Not Reported,Residential/dwelling,1951,12/29/2009,91850,No Additional Comments
4050650007,4050650007,Residential,Not Reported,Residential/dwelling,1980,01/06/2010,91851,Residential building with associated detached garage.
4050650007,4050650007,Residential,Not Reported,Residential/dwelling,1982,01/06/2010,91852,Residential building with associated detached garage.
4049620026,4049620026,Unknown,Not Reported,No Features Visible,1897,12/29/2009,50343,No Additional Comments
4049620026,4049620026,Residential,Not Reported,Residential/dwelling,1980,12/29/2009,50348,No Additional Comments
4049460121,4049460121,Other (input),Not Reported,Stable,1916,12/29/2009,50270,No Additional Comments
2048060007,2048060007,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1935,01/29/2010,40258,Parcel lies in creek (Givan's Creek).
4049450034,4049450034,Commercial,Repair,Other,1951,03/04/2010,50264,"Gull Contracting Co. Inc. with associated machinery equipment repair with three areas labeled 'tires', 'oil', and 'lockers'.  Storage building."
4049630001,4049630001,Commercial,Not Reported,Cement Industry/concrete plant,1934,03/23/2010,50359,Parcel lies on yard of cement facility.
2056110050,2056110050,Unknown,Not Reported,No Features Visible,1908,02/02/2010,41614,No Additional Comments
2056110060,2056110060,Unknown,Not Reported,No Features Visible,1978,02/02/2010,41625,No Additional Comments
4095040046,4095040046,Residential,Not Reported,Residential/dwelling,1927,01/06/2010,50816,Residential building with associated detached garages.
4095040046,4095040046,Residential,Not Reported,Residential/dwelling,1950,12/30/2009,50817,No Additional Comments
2042230100,2042230100,Unknown,Not Reported,No Features Visible,1981,01/29/2010,40060,No Additional Comments
4043820050,4043820050,Unknown,Not Reported,No Features Visible,1903,02/19/2010,50176,No Additional Comments
2036960044,2036960044,Unknown,Not Reported,No Features Visible,1986,12/16/2009,39605,No Additional Comments
4090390151,4090390151,Unknown,Not Reported,No Features Visible,1970,12/29/2009,50616,Parcel is too small to analyze accurately
4043770029,4043770029,Other (input),Not Reported,Other,1963,02/19/2010,50125,A portion of the parcel lies in roadway (122nd Av and 31st St).
4043780009,4043780009,Office,Not Reported,Building,1951,02/19/2010,50152,Yard Office.
4038040113,4038040113,Unknown,Not Reported,No Features Visible,1982,02/25/2010,45645,No Additional Comments
4041600120,4041600120,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1963,02/18/2010,49590,A portion of the parcel includes shoreline features (Flushing Bay).
4041600120,4041600120,Commercial,Storage,Shipyard/ship building,1951,02/18/2010,49589,Boat yard.
4040800011,4040800011,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1916,03/23/2010,45966,A large portion of the parcel lies in a waterway.  No other features visible.
4040800011,4040800011,Other (input),Not Reported,Other,1981,03/23/2010,45971,A portion of the parcel lies in roadway (11th St).
2051040033,2051040033,Transportation,Not Reported,Railroad Yards,1897,01/20/2010,40630,NY Central and Hudson River Railroad (Harlem Division).  A portion of the parcel lies in the roadway.
2051040033,2051040033,Transportation,Not Reported,Railroad Yards,1908,12/21/2009,40631,NY Central and Hudson River Railroad (Harlem Division)
2051040033,2051040033,Unknown,Not Reported,Building,1908,12/21/2009,40631,No Additional Comments
2051040033,2051040033,Commercial,Not Reported,Other,1918,01/20/2010,40632,Lumber Yard.    A portion of the parcel lies in the roadway.
2051040033,2051040033,Other (input),Not Reported,Other,1918,01/20/2010,40632,A portion of the parcel lies in the roadway.
2051040033,2051040033,Commercial,Not Reported,Warehouse,1950,01/20/2010,40635,Building materials warehouse. Willson & Adams Co.    A portion of the parcel lies in the roadway.
4040610015,4040610015,Residential,Not Reported,Residential/dwelling,1943,12/30/2009,45933,No Additional Comments
2046140023,2046140023,Commercial,Not Reported,Other,1950,01/07/2010,40202,Plumbing supplies
4040570105,4040570105,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1951,03/19/2010,45899,Shoreline (Flushing Bay). A portion of the parcel lies in roadway (Powell's Cove Blvd).
2050850017,2050850017,Unknown,Not Reported,No Features Visible,1950,03/23/2010,40606,Parcel is too small to analyze accurately
4040570110,4040570110,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1903,03/19/2010,45902,The parcel lies in a waterway.
3044520401,3044520401,Other (input),Not Reported,Other,1908,01/21/2010,73122,Parcel lies in roadway.
4010160030,4010160030,Unknown,Not Reported,No Features Visible,1980,12/29/2009,43664,No Additional Comments
2039100036,2039100036,Unknown,Not Reported,No Features Visible,1969,01/19/2010,39780,No Additional Comments
2040080005,2040080005,Commercial,Not Reported,Store,1928,01/07/2010,39877,No Additional Comments
3041420032,3041420032,Recreation,Not Reported,Other,1980,03/03/2010,73002,Playground
3043630053,3043630053,Unknown,Not Reported,No Features Visible,1977,12/15/2009,73071,No Additional Comments
3039890032,3039890032,Residential,Not Reported,Residential/dwelling,1965,12/01/2009,72965,No Additional Comments
3043340001,3043340001,Unknown,Not Reported,No Features Visible,1951,12/17/2009,73026,No Additional Comments
2030910119,2030910119,Unknown,Not Reported,No Features Visible,1901,12/16/2009,39208,No Additional Comments
4012920050,4012920050,Residential,Not Reported,Residential/dwelling,1930,12/29/2009,43828,1 detached garage
2027740329,2027740329,Unknown,Not Reported,No Features Visible,1915,12/21/2009,38354,No Additional Comments
2027610126,2027610126,Transportation,Not Reported,Parking,1980,12/17/2009,38058,No Additional Comments
2027740601,2027740601,Unknown,Not Reported,No Features Visible,1978,12/21/2009,38385,No Additional Comments
3039620031,3039620031,Unknown,Not Reported,No Features Visible,1908,12/17/2009,72913,No Additional Comments
3039610033,3039610033,Commercial,Not Reported,Store,1977,12/17/2009,72910,No Additional Comments
2027370040,2027370040,Other (input),Not Reported,Other,1950,01/24/2010,37970,Detached garage
2027360276,2027360276,Residential,Not Reported,Residential/dwelling,1950,12/17/2009,37893,No Additional Comments
3036870006,3036870006,Not reported,Not Reported,No Features Visible,1908,03/12/2015,36499,
2030350025,2030350025,Unknown,Not Reported,No Features Visible,1980,12/21/2009,39059,No Additional Comments
2030350026,2030350026,Residential,Not Reported,Residential/dwelling,1915,12/21/2009,39062,No Additional Comments
4010160021,4010160021,Other (input),Not Reported,Other,1967,02/15/2010,43656,Parcel lies in a roadway.
3038650006,3038650006,Other (input),Automotive,Auto Repair/Garage,1980,12/04/2009,72869,Garage.
3037170022,3037170022,Residential,Not Reported,Residential/dwelling,1908,11/18/2009,72557,No Additional Comments
4011860080,4011860080,Unknown,Not Reported,No Features Visible,1930,02/05/2010,43716,No Additional Comments
3036660024,3036660024,Commercial,Not Reported,Store,1950,12/09/2009,36205,No Additional Comments
4035420057,4035420057,Commercial,Tank,Gasoline Tank,1936,12/30/2009,45264,4 Gasoline tanks
4035420012,4035420012,Unknown,Not Reported,No Features Visible,1980,12/30/2009,45205,No Additional Comments
3036800029,3036800029,Commercial,Not Reported,Store,1950,12/09/2009,36409,No Additional Comments
3037120040,3037120040,Other (input),Not Reported,Stable,1887,12/17/2009,36577,No Additional Comments
3037120017,3037120017,Other (input),Not Reported,Stable,1908,01/06/2010,36550,No Additional Comments
3034720030,3034720030,Unknown,Not Reported,No Features Visible,1888,12/08/2009,35925,No Additional Comments
3015740019,3015740019,Commercial,Not Reported,Store,1965,12/15/2009,30258,Multiple storefronts.
3014370014,3014370014,Unknown,Not Reported,No Features Visible,1963,01/17/2010,29625,No Additional Comments
2032660023,2032660023,Commercial,Not Reported,Building,1978,02/25/2010,39288,No Additional Comments
3036770004,3036770004,Unknown,Not Reported,No Features Visible,1977,12/09/2009,36347,No Additional Comments
3034580011,3034580011,Commercial,Repair,Tank,1979,12/15/2009,35868,Oil tank repair
2032380127,2032380127,Unknown,Not Reported,No Features Visible,1977,12/16/2009,39261,Parcel is too small to analyze accurately
3014500044,3014500044,Residential,Not Reported,Residential/dwelling,1951,01/17/2010,29710,Residential building with two associated sheds.
3036750005,3036750005,Commercial,Auto Repair,Auto Repair/Garage,1979,12/09/2009,36236,No Additional Comments
2025760014,2025760014,Commercial,Body Shop,Other,1978,01/07/2010,37588,Tire service
2023880058,2023880058,Commercial,Works,Building,1891,01/24/2010,37352,Granite Tub Works
2023690066,2023690066,Residential,Not Reported,Residential/dwelling,1980,12/16/2009,37073,No Additional Comments
2026190018,2026190018,Unknown,Not Reported,Building,1891,01/24/2010,37793,No Additional Comments
2023690068,2023690068,Residential,Not Reported,Residential/dwelling,1969,12/16/2009,37076,No Additional Comments
2023690069,2023690069,Unknown,Not Reported,Building,1891,01/24/2010,37081,No Additional Comments
3014550079,3014550079,Residential,Not Reported,Residential/dwelling,1888,12/12/2009,29791,No Additional Comments
2023860040,2023860040,Commercial,Not Reported,Store,1969,01/05/2010,37307,Three storefronts.
2025920001,2025920001,Unknown,Not Reported,No Features Visible,1980,12/17/2009,37645,No Additional Comments
2023860136,2023860136,Commercial,Waste,Junkyard,1977,03/16/2010,37302,A portion of the parcel lies on a junkyard.
4026800010,4026800010,Residential,Not Reported,Residential/dwelling,1980,12/30/2009,44885,1 detached garage
2023860136,2023860136,Unknown,Not Reported,Building,1891,03/16/2010,37298,The parcel lies on the yard of an unmarked building.
2023860057,2023860057,Residential,Not Reported,Residential/dwelling,1979,01/05/2010,37317,No Additional Comments
2023860057,2023860057,Unknown,Not Reported,Building,1891,01/05/2010,37312,No Additional Comments
2023860057,2023860057,Residential,Not Reported,Residential/dwelling,1977,01/05/2010,37316,No Additional Comments
3035210075,3035210075,Commercial,Not Reported,Store,1979,01/15/2010,36110,"Multiple storefronts, one labeled 'furniture'."
3035210072,3035210072,Unknown,Not Reported,No Features Visible,1979,12/08/2009,36089,No Additional Comments
2032440160,2032440160,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1991,03/18/2015,43201,Marsh area - Harlem River - has been filled about 150 feet
2032440145,2032440145,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1900,01/29/2010,39264,Shoreline of the Harlem River.
3081200055,3081200055,Unknown,Not Reported,No Features Visible,1907,12/14/2009,75718,No Additional Comments
1021970071,1021970071,Commercial,Coal Storage,Coal Storage,1935,03/03/2010,43232,Parcel lies along the Harlem River.  Roden Coal. Parcel features coal hoppers.
3034990057,3034990057,Commercial,Not Reported,Store,1907,12/08/2009,36041,Includes a tailor
3034990053,3034990053,Commercial,Not Reported,Store,1907,12/08/2009,36020,No Additional Comments
4026490060,4026490060,Other (input),Not Reported,Other,1971,12/30/2009,44800,Part of parcel lies in roadway
3034200007,3034200007,Residential,Not Reported,Residential/dwelling,1888,12/07/2009,35799,No Additional Comments
2028590089,2028590089,Unknown,Not Reported,No Features Visible,1979,12/21/2009,38609,No Additional Comments
3034930018,3034930018,Commercial,Not Reported,Store,1950,12/08/2009,36002,Includes a bakery
2022930079,2022930079,Residential,Not Reported,Residential/dwelling,1946,12/15/2009,36699,No Additional Comments
2022930079,2022930079,Residential,Not Reported,Residential/dwelling,1908,12/15/2009,36697,No Additional Comments
2022940001,2022940001,Other (input),Not Reported,Other,1946,12/15/2009,36720,Parcel lays on roadway (3rd Avenue)
4033950015,4033950015,Unknown,Not Reported,No Features Visible,1902,12/30/2009,45166,No Additional Comments
3079180086,3079180086,Commercial,Automotive,Junkyard,1979,01/28/2010,75240,Junked autos.
4026030240,4026030240,Other (input),Not Reported,Other,1914,02/08/2010,44699,Parcel lies in roadway.
2028720182,2028720182,Residential,Not Reported,Residential/dwelling,1979,01/07/2010,38673,Residential building with associated detached garage.
2022610048,2022610048,Unknown,Not Reported,No Features Visible,1980,12/15/2009,36653,No Additional Comments
3079320239,3079320239,Unknown,Not Reported,No Features Visible,1929,12/14/2009,75460,No Additional Comments
3014770040,3014770040,Commercial,Service Station,Gasoline Tank,1932,12/14/2009,30016,Filling station with three gasoline tanks.
3079320160,3079320160,Unknown,Not Reported,No Features Visible,1930,12/08/2009,75300,No Additional Comments
3014750039,3014750039,Commercial,Not Reported,Store,1951,12/12/2009,29948,No Additional Comments
3079320561,3079320561,Unknown,Not Reported,No Features Visible,1980,03/03/2010,75563,No Additional Comments
3014660001,3014660001,Commercial,Not Reported,Store,1951,12/12/2009,29927,Multiple Stores
4025350016,4025350016,Unknown,Not Reported,No Features Visible,1914,12/30/2009,44503,No Additional Comments
4025350016,4025350016,Unknown,Not Reported,No Features Visible,1950,12/30/2009,44505,No Additional Comments
4025350013,4025350013,Unknown,Not Reported,No Features Visible,1914,12/30/2009,44496,No Additional Comments
4025350013,4025350013,Unknown,Not Reported,No Features Visible,1971,12/30/2009,44499,No Additional Comments
3079320207,3079320207,Commercial,Storage,Other,1977,03/16/2010,75380,Auto parts storage.
4033930015,4033930015,Unknown,Not Reported,No Features Visible,1980,02/08/2010,45164,Parcel is too small to analyze accurately.
3032930042,3032930042,Residential,Not Reported,Residential/dwelling,1888,12/07/2009,35750,No Additional Comments
3031880070,3031880070,Unknown,Not Reported,No Features Visible,1965,01/04/2010,35670,Parcel is too small to analyze accurately.
4025220003,4025220003,Residential,Not Reported,Residential/dwelling,1980,12/29/2009,85534,1 detached garage
3079490267,3079490267,Residential,Not Reported,Residential/dwelling,1950,12/14/2009,75608,1 detached garage
4025160023,4025160023,Residential,Not Reported,Residential/dwelling,1914,12/29/2009,44296,No Additional Comments
1021740160,1021740160,Unknown,Not Reported,No Features Visible,1968,02/03/2010,43164,No Additional Comments
3016230057,3016230057,Commercial,Not Reported,Lumber yard/mill works,1951,01/17/2010,30305,"Lumber sheds, storage, and an office building."
2022600180,2022600180,Commercial,Not Reported,Other,1980,01/24/2010,36639,Flat (denotes a delivery service)
4025270003,4025270003,Unknown,Not Reported,No Features Visible,1936,01/18/2010,44392,Parcel is too small to be analyzed accurately.
3016280020,3016280020,Residential,Not Reported,Residential/dwelling,1951,12/15/2009,30312,No Additional Comments
2022960006,2022960006,Commercial,Not Reported,Store,1951,01/24/2010,36763,Two storefronts
2022960006,2022960006,Residential,Not Reported,Residential/dwelling,1908,12/15/2009,36760,No Additional Comments
2023090022,2023090022,Residential,Not Reported,Residential/dwelling,1951,12/16/2009,36791,No Additional Comments
3088440340,3088440340,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1930,01/26/2010,76068,Parcel lies in a creek.
3088440340,3088440340,Residential,Not Reported,Residential/dwelling,1950,01/26/2010,76069,No Additional Comments
3029270110,3029270110,Other (input),Not Reported,"Water features (pond, stream, or marsh)",1888,03/12/2010,35055,Parcel includes a stream.  No other features visible.
3077330016,3077330016,Commercial,Not Reported,Other,1977,12/08/2009,75142,Used auto sales
3088910690,3088910690,Other (input),Not Reported,Other,1930,01/26/2010,76236,Detached garage.
3088910622,3088910622,Commercial,Not Reported,Other,1977,01/25/2010,76170,Boat Storage
2023510022,2023510022,Unknown,Not Reported,No Features Visible,1891,02/25/2010,36906,No Additional Comments
3031550108,3031550108,Commercial,Not Reported,Store,1907,12/30/2009,35597,No Additional Comments
2023160035,2023160035,Transportation,Coal Storage,Railroad Yards,1935,02/18/2010,36817,"Parcel lies on railroad tracks for Central Railroad of N.J., Bronx Freight Terminal, includes boilers, office, locomotive house and coal shed."
2023160035,2023160035,Transportation,Coal Storage,Railroad Yards,1946,02/18/2010,36818,"Parcel lies on railroad tracks for Central Railroad of N.J., Bronx Freight Terminal, includes boilers, office, locomotive house and coal shed."
3030080015,3030080015,Unknown,Not Reported,No Features Visible,1888,12/03/2009,35125,No Additional Comments
3088390006,3088390006,Unknown,Not Reported,No Features Visible,1969,01/27/2010,76030,No Additional Comments
3088390006,3088390006,Unknown,Not Reported,No Features Visible,1950,01/27/2010,76028,No Additional Comments
2023190108,2023190108,Industrial,Works,Metal Works,1908,02/18/2010,36823,Parcel lies on the J.L. Mott Iron Works which is marked as ''Vacant''.
2023490100,2023490100,Industrial,Coal Storage,Coal Storage,1944,02/27/2015,36906,
4003810026,4003810026,Unknown,Not Reported,No Features Visible,1915,02/04/2010,45708,No Additional Comments
3089550388,3089550388,Unknown,Not Reported,"Water features (pond, stream, or marsh)",1981,02/17/2010,76375,A portion of the property lies in Shell Bank Creek.  No other features visible.
3045880086,3045880086,Unknown,Not Reported,No Features Visible,1929,12/03/2009,73207,No Additional Comments
3045880086,3045880086,Commercial,Not Reported,Store,1951,12/03/2009,73208,No Additional Comments
3045880086,3045880086,Commercial,Not Reported,Building,1977,12/03/2009,73210,No Additional Comments
3045880086,3045880086,Unknown,Not Reported,No Features Visible,1905,12/03/2009,73206,No Additional Comments
3089550384,3089550384,Unknown,Not Reported,No Features Visible,1930,01/25/2010,76363,No Additional Comments
3089550370,3089550370,Unknown,Not Reported,No Features Visible,1981,01/25/2010,76361,No Additional Comments
3089550370,3089550370,Unknown,Not Reported,No Features Visible,1968,01/25/2010,76358,No Additional Comments
3088330001,3088330001,Recreation,Not Reported,Other,1977,01/27/2010,75989,The parcel includes a Ferris wheel associated with the Peter Pan Amusement Park.
3088330001,3088330001,Other (input),Not Reported,Other,1906,02/16/2010,75984,Parcel is broken into two separate areas. A large portion of the parcel lies on the shore area.
3088330001,3088330001,Other (input),Not Reported,Other,1950,02/16/2010,75986,Parcel is broken into two separate areas. A portion of the parcel lies in a waterway or shore area.  No other features are visible.
3029420157,3029420157,Other (input),Industry,Other,1907,02/23/2010,35084,"Parcel lies on edge of Eastern Bermudez Asphalt Co. with driers, carpenter, coal-fueled kilns, fuel oil tank, engines, boilers, sheds, and mixing room.  No features visible within parcel boundaries."
3028130050,3028130050,Unknown,Not Reported,No Features Visible,1933,02/22/2010,35008,No Additional Comments
4002390048,4002390048,Unknown,Not Reported,No Features Visible,1915,01/28/2010,44184,No Additional Comments
4004020035,4004020035,Residential,Not Reported,Residential/dwelling,1936,02/05/2010,45869,No Additional Comments
4004020028,4004020028,Residential,Not Reported,Residential/dwelling,1980,02/05/2010,45866,No Additional Comments
1017860033,1017860033,Residential,Not Reported,Residential/dwelling,1911,03/17/2015,42633,
3031380040,3031380040,Commercial,Storage,Other,1887,01/07/2010,35440,Oil house on commercial property.
1017540033,1017540033,Commercial,Service Station,Gasoline Tank,1980,12/28/2009,42479,3 Gasoline Tanks
1017540033,1017540033,Unknown,Not Reported,No Features Visible,1896,12/28/2009,42473,No Additional Comments
1017540033,1017540033,Commercial,Garage,Gasoline Tank,1951,12/28/2009,42476,250 Gallon Gasoline tank underground
1017720030,1017720030,Residential,Not Reported,Residential/dwelling,1968,03/17/2015,42561,
1017720024,1017720024,Not reported,Not Reported,No Features Visible,1995,03/17/2015,42557,
1017720022,1017720022,Commercial,Not Reported,Store,1911,03/17/2015,42557,
4003500016,4003500016,Residential,Not Reported,Residential/dwelling,1947,02/04/2010,45183,No Additional Comments
1017730067,1017730067,Office,Not Reported,Building,1968,12/28/2009,42596,Multiple offices
1016660105,1016660105,Unknown,Not Reported,No Features Visible,1896,12/28/2009,42410,No Additional Comments
4003610002,4003610002,Commercial,Not Reported,Other,1970,12/29/2009,45358,Contractor's storage
4001130011,4001130011,Unknown,Not Reported,No Features Visible,1980,01/28/2010,43685,No Additional Comments
1017490069,1017490069,Commercial,Not Reported,Store,1939,12/28/2009,42461,Multiple storefronts
1017220006,1017220006,Unknown,Not Reported,No Features Visible,1976,12/28/2009,42434,No Additional Comments
3022690035,3022690035,Commercial,Not Reported,Store,1918,12/01/2009,31956,No Additional Comments
3022690016,3022690016,Commercial,Not Reported,Store,1935,12/01/2009,31880,No Additional Comments
3022500048,3022500048,Other (input),Not Reported,Other,1947,12/16/2009,31776,Building
4000720051,4000720051,Commercial,Not Reported,Other,1950,01/28/2010,46754,Poultry market. Portion of parcel lies in roadway and has no features visible.
3022500048,3022500048,Other (input),Not Reported,Stable,1887,11/25/2009,31772,No Additional Comments
4000720051,4000720051,Commercial,Not Reported,Store,1898,01/28/2010,46750,"Three storefronts, one which includes a water tank and with associated attached carriage house."
3018670018,3018670018,Commercial,Not Reported,Store,1951,12/02/2009,30879,No Additional Comments
3022420002,3022420002,Commercial,Not Reported,Store,1904,12/09/2009,31696,No Additional Comments
3022340128,3022340128,Unknown,Not Reported,No Features Visible,1950,12/18/2009,31665,No Additional Comments
3025770024,3025770024,Unknown,Not Reported,No Features Visible,1887,02/19/2010,34824,No Additional Comments
1019520041,1019520041,Unknown,Not Reported,Building,1902,12/23/2009,43005,No Additional Comments
4000650056,4000650056,Unknown,Not Reported,No Features Visible,1936,02/04/2010,46668,No Additional Comments
3017370056,3017370056,Unknown,Not Reported,Building,1887,12/28/2009,30743,No Additional Comments
3074180050,3074180050,Unknown,Not Reported,No Features Visible,1968,12/08/2009,75064,No Additional Comments
4000280009,4000280009,Residential,Not Reported,Residential/dwelling,1936,01/26/2010,45035,"Two residential buildings, one with associated detached garage."
3074590067,3074590067,Other (input),Utility,Not reported,1980,12/28/2009,75108,N.Y. Telephone Co.
4000280010,4000280010,Commercial,Paint,Paint/varnish,1936,01/26/2010,44993,Paints
3017350047,3017350047,Commercial,Not Reported,Store,1935,11/18/2009,30564,No Additional Comments
3017350047,3017350047,Commercial,Not Reported,Store,1918,11/18/2009,30563,No Additional Comments
3017350047,3017350047,Commercial,Not Reported,Store,1947,11/18/2009,30565,No Additional Comments
3022980029,3022980029,Commercial,Not Reported,Warehouse,1942,12/29/2009,32055,Bottle Storage
4000290026,4000290026,Industrial,Not Reported,Other,1947,01/26/2010,45078,Loft - Multiple industrial or manufacturing occupants.
